Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,SDTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR,RelTime_ORT_LR
TOUSSAINT Kira,Women's 100m Backstroke,3630,208020,3551,3561,3549,3553.666667,6.429100507,-0.021480161,-57.53672263,0,1,1
SEEBOHM Emily,Women's 100m Backstroke,3630,208020,3525,3566,3539,3543.333333,20.84066538,-0.024459078,-57.7074318,0,1,1
SHYMANOVICH Ilya,Men's 100m Breaststroke,3619,3433,3576,3573,3548,3565.666667,15.37313674,-0.014957465,0.037206693,0,1,0
WILBY James,Men's 100m Breaststroke,3619,3433,3576,3579,3540,3565,21.70253441,-0.015147265,0.037026648,0,1,0
GORBENKO Anastasia,Women's 100m Backstroke,3630,208020,3593,3630,3570,3597.666667,30.27099822,-0.008987307,-56.82080978,0,1,1
SCHOENMAKER Tatjana,Women's 100m Breaststroke,4030,3920,3922,3922,3907,3917,8.660254038,-0.028848609,-0.000765892,1,1,1
JACOBY Lydia,Women's 100m Breaststroke,4030,3920,3935,3952,3972,3953,18.52025918,-0.019478877,0.00834809,1,1,0
KING Lilly,Women's 100m Breaststroke,4030,3920,3954,3955,3940,3949.666667,8.386497084,-0.020339269,0.007511182,1,1,0
HANSSON Sophie,Women's 100m Breaststroke,4030,3920,3967,3966,3981,3971.333333,8.386497084,-0.014772537,0.012925969,0,1,0
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,4030,3920,3990,3976,4007,3991,15.5241747,-0.009771987,0.017790028,0,1,0
EFIMOVA Yuliya,Women's 100m Breaststroke,4030,3920,3962,3981,3994,3979,16.09347694,-0.012817291,0.014827846,0,1,0
CARRARO Martina,Women's 100m Breaststroke,4030,3920,3979,3985,4010,3991.333333,16.44181661,-0.009687657,0.017872056,0,1,0
Mc SHARRY Mona,Women's 100m Breaststroke,4030,3920,4054,3999,4019,4024,27.83882181,-0.001491054,0.02584493,0,1,0
HWANG Sunwoo,Men's 200m Freestyle,6440,6180,6326,6302,6353,6327,25.51470164,-0.017859965,0.02323376,0,1,0
SCHEFFER Fernando,Men's 200m Freestyle,6440,6180,6306,6305,6371,6327.333333,37.81974793,-0.017806343,0.023285218,1,1,0
DEAN Tom,Men's 200m Freestyle,6440,6180,6262,6324,6334,6306.666667,39.00427327,-0.021141649,0.020084567,1,1,0
POPOVICI David,Men's 200m Freestyle,6440,6180,6308,6332,6368,6336,30.19933774,-0.016414141,0.024621212,0,1,0
SCOTT Duncan,Men's 200m Freestyle,6440,6180,6266,6337,6300,6301,35.51056181,-0.02205999,0.019203301,1,1,0
MALYUTIN Martin,Men's 200m Freestyle,6440,6180,6301,6350,6345,6332,26.96293753,-0.017056222,0.024005054,0,1,0
