Name,Event,Final,Heat,Semi,RoundsCompare,Time
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,Semis vs Finals,0.010113583
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,Heats vs Finals,0.010113583
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,Semis vs Finals,5.47E-04
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,Heats vs Finals,0.004280822
WILBY James,Men's 200m Breaststroke,128.19,129.7,127.91,Semis vs Finals,-0.002189039
WILBY James,Men's 200m Breaststroke,128.19,129.7,127.91,Heats vs Finals,0.011642251
MURA Ryuya,Men's 200m Breaststroke,128.42,129,128.27,Semis vs Finals,-0.001169408
MURA Ryuya,Men's 200m Breaststroke,128.42,129,128.27,Heats vs Finals,0.004496124
PERSSON Erik,Men's 200m Breaststroke,128.88,128.76,128.76,Semis vs Finals,-9.32E-04
PERSSON Erik,Men's 200m Breaststroke,128.88,128.76,128.76,Heats vs Finals,-9.32E-04
DEAN Tom,Men's 200m Freestyle,104.22,105.24,105.34,Semis vs Finals,0.010632238
DEAN Tom,Men's 200m Freestyle,104.22,105.24,105.34,Heats vs Finals,0.009692132
SCOTT Duncan,Men's 200m Freestyle,104.26,105.37,104.6,Semis vs Finals,0.003250478
SCOTT Duncan,Men's 200m Freestyle,104.26,105.37,104.6,Heats vs Finals,0.010534308
SCHEFFER Fernando,Men's 200m Freestyle,104.66,105.05,105.71,Semis vs Finals,0.009932835
SCHEFFER Fernando,Men's 200m Freestyle,104.66,105.05,105.71,Heats vs Finals,0.003712518
POPOVICI David,Men's 200m Freestyle,104.68,105.32,105.68,Semis vs Finals,0.009462528
POPOVICI David,Men's 200m Freestyle,104.68,105.32,105.68,Heats vs Finals,0.006076719
MALYUTIN Martin,Men's 200m Freestyle,105.01,105.5,105.45,Semis vs Finals,0.004172594
MALYUTIN Martin,Men's 200m Freestyle,105.01,105.5,105.45,Heats vs Finals,0.00464455
SMITH Kieran,Men's 200m Freestyle,105.12,106.2,105.07,Semis vs Finals,-4.76E-04
SMITH Kieran,Men's 200m Freestyle,105.12,106.2,105.07,Heats vs Finals,0.010169492
